DATE,TIME,AGE,SEX,RACE,GEOCODE_OVERRIDE,DISTRICT_NUM,DISTRICT_NAME,NEIGHBORHOOD_NAME,COMMUNITY_NAME,LINK,MURDER,PUB_CAUSE,LAT,LNG,IS_MURDER,IS_FATAL,HOUR,HOUR_HH,MINUTES_MM,ID
2014-06-01,20:48,27,M,B,"(41.719078,-87.567581)",4,South Chicago,Jeffery Manor,South Deering,"http://www.chicagotribune.com/news/local/breaking/chi-sunday-afternoon-shootings-wound-3-20140601,0,3627253.story",Yes,Shot,41.719078,-87.567581,1,1,20:48:00,20,48,1181
2014-06-12,20:56,22,M,B,"(41.8983967602253,-87.7700134366751)",15,Austin,South Austin,Austin,"http://www.chicagotribune.com/news/local/breaking/chi-chicago-shootings-at-least-2-hurt-on-south-side-20140612,0,6257324.story",Yes,Shot,41.8983967602253,-87.7700134366751,1,1,20:56:00,20,56,1182
2014-06-21,16:44,0,M,B,"(41.689697,-87.670387)",22,Morgan Park,Morgan Park,Morgan Park,"http://www.chicagotribune.com/news/local/breaking/chi-1-killed-1-wounded-in-separate-city-shootings-20140621,0,1041042.story",Yes,Shot,41.689697,-87.670387,1,1,16:44:00,16,44,1183
2014-06-06,22:44,22,F,B,"(41.8824208527803,-87.7306768298149)",11,Harrison,West Garfield Park,West Garfield Park,"http://www.chicagotribune.com/news/local/breaking/chi-20-shot-chicago-violence-20140607,0,2266116.story",Yes,Shot,41.8824208527803,-87.7306768298149,1,1,22:44:00,22,44,1184
2014-07-06,00:22,19,M,B,"(41.9618289917707,-87.6621872931719)",19,Town Hall,Sheridan Park,Uptown,"http://www.chicagotribune.com/news/local/breaking/chi-chicago-shootings-july-4-weekend-20140705,0,6087828.story",Yes,Shot,41.9618289917707,-87.6621872931719,1,1,00:22:00,0,22,1185
2014-07-06,17:40,21,M,B,"(41.887004,-87.756896)",15,Austin,South Austin,Austin,"http://www.chicagotribune.com/news/local/breaking/chi-police-woman-in-60s-grazed-by-stray-bullet-on-far-south-side-20140706,0,7038311.story",Yes,Shot,41.887004,-87.756896,1,1,17:40:00,17,40,1186
2014-06-01,2:55,49,F,W,"(41.848556,-87.693161)",10,Ogden,Little Village,South Lawndale,"http://www.chicagotribune.com/news/local/breaking/chi-woman-dies-after-june-1-little-village-shooting-20140708,0,7927977.story",Yes,Shot,41.848556,-87.693161,1,1,02:55:00,2,55,1187
2014-07-09,4:00,24,F,B,"(41.7838067561388,-87.6215417683125)",3,Grand Crossing,Washington Park,Washington Park,"http://www.chicagotribune.com/news/local/breaking/chi-officials-diverting-southbound-dan-ryan-traffic-after-shooting-20140709,0,3596968.story",Yes,Shot,41.7838067561388,-87.6215417683125,1,1,04:00:00,4,0,1188
2014-06-15,00:04,17,M,B,"(41.8709316104651,-87.7039311826229)",11,Harrison,Lawndale,East Garfield Park,"http://www.chicagotribune.com/news/local/breaking/chi-2-wounded-in-separate-shootings-on-the-south-side-20140614,0,2681471.story",Yes,Shot,41.8709316104651,-87.7039311826229,1,1,00:04:00,0,4,1189
2014-05-09,19:51,37,F,B,"(41.686584,-87.649147)",22,Morgan Park,Morgan Park,Morgan Park,"http://www.chicagotribune.com/news/local/breaking/chi-summer-moore-chicago-shooting-morgan-park-20140510,0,6451942.story",Yes,Shot,41.686584,-87.649147,1,1,19:51:00,19,51,1190
2014-05-24,15:42,31,M,B,"(41.76873,-87.643623)",7,Englewood,Englewood,Englewood,"http://www.chicagotribune.com/news/local/breaking/chi-paramedics-respond-to-englewood-shooting-20140524,0,1766857.story",Yes,Shot,41.76873,-87.643623,1,1,15:42:00,15,42,1191
2014-09-04,21:40,53,M,B,"(41.910579,-87.693954)",14,Shakespeare,Logan Square,West Town,http://www.chicagotribune.com/news/local/breaking/chi-man-held-in-northwest-side-death-20140910-story.html,Yes,Beaten,41.910579,-87.693954,1,1,21:40:00,21,40,1192
2014-09-19,20:30,21,M,B,"(41.754123,-87.643165)",6,Gresham,Gresham,Auburn Gresham,http://www.chicagotribune.com/news/local/breaking/chi-man-fatally-stabbed-in-gresham-neighborhoood-20140920-story.html,Yes,Stabbing,41.754123,-87.643165,1,1,20:30:00,20,30,1193
2014-09-30,03:20,25,M,B,"(41.891994,-87.720207)",11,Harrison,East Garfield Park,Humboldt Park,http://www.chicagotribune.com/news/local/breaking/chi-2-wounded-in-south-side-shootings-20140929-story.html,Yes,Shot,41.891994,-87.720207,1,1,03:20:00,3,20,1194
2014-10-06,17:30,37,M,B,"(41.8146796524525,-87.6217798143625)",2,Wentworth,Bronzeville,Grand Boulevard,http://www.chicagotribune.com/news/local/breaking/chi-man-found-shot-dead-in-vehicle-in-bronzeville-neighborhood-20141006-story.html?track=rss,Yes,Shot,41.8146796524525,-87.6217798143625,1,1,17:30:00,17,30,1195
2014-09-25,4:55,88,M,B,"(41.74014173448086, -87.60498650372028)",6,Gresham,Chatham,Chatham,http://www.chicagotribune.com/news/local/breaking/chi-man-charged-with-murder-of-88yearold-pillar-of-the-community-20141003-story.html,Yes,Assault,41.74014173448086, -87.60498650372028,1,1,04:55:00,4,55,1196
2014-09-28,21:40,17,M,W,"(42.048297,-87.731521)",,,,,http://www.chicagotribune.com/suburbs/evanston-skokie-morton-grove/chi-skokie-police-release-suspected-gunman-in-teens-killing-20141007-story.html,Yes,Shot,42.048297,-87.731521,1,1,21:40:00,21,40,1197
2014-10-19,00:35,18,F,W,"(41.934371,-87.759262)",25,Grand Central,Cragin,Belmont Cragin,http://www.chicagotribune.com/news/local/breaking/chi-chicagoshootingsviolence-20141018-story.html,Yes,Shot,41.934371,-87.759262,1,1,00:35:00,0,35,1198
2014-11-01,19:00,20,M,B,"(41.7722618579865,-87.6494964212179)",7,Englewood,Englewood,Englewood,http://www.chicagotribune.com/news/local/breaking/chi-chicago-evening-shootings-20141101-story.html?track=rss,Yes,Shot,41.7722618579865,-87.6494964212179,1,1,19:00:00,19,0,1199
2014-11-05,17:05,25,M,B,"(41.8783506006002,-87.7255189418793)",11,Harrison,East Garfield Park,West Garfield Park,http://www.chicagotribune.com/news/local/breaking/chi-chicago-shootings-20141105-story.html,Yes,Shot,41.8783506006002,-87.7255189418793,1,1,17:05:00,17,5,1200
2014-11-03,00:25,50,M,B,"(41.752452403307,-87.5514368712902)",4,South Chicago,South Shore,South Shore,http://www.chicagotribune.com/news/local/breaking/chi-west-town-shooting-leaves-man-in-critical-condition-20141102-story.html?track=rss,Yes,Stabbing,41.752452403307,-87.5514368712902,1,1,00:25:00,0,25,1201
2014-11-07,21:55,3,M,B,"(41.9999197125435,-87.6814582943916)",24,Rogers Park,West Rogers Park,West Ridge,http://www.chicagotribune.com/news/local/breaking/ct-child-death-investigation-met-20141109-story.html,Yes,,41.9999197125435,-87.6814582943916,1,1,21:55:00,21,55,1202
2014-11-16,03:10,24,M,B,"(41.871059,-87.684066)",12,Near West,Tri-Taylor,Near West Side,http://www.chicagotribune.com/news/local/breaking/chi-weekend-shootings-20141117-story.html,Yes,Shot,41.871059,-87.684066,1,1,03:10:00,3,10,1203
2014-11-21,23:30,24,M,B,"(41.88515,-87.772987)",15,Austin,South Austin,Austin,http://www.chicagotribune.com/news/local/breaking/chi-man-shot-to-death-in-east-hyde-park-20141121-story.html,Yes,Shot,41.88515,-87.772987,1,1,23:30:00,23,30,1204
2014-11-30,15:11,22,M,B,"(41.7631550878286,-87.6289366185665)",7,Englewood,Park Manor,Greater Grand Crossing,http://www.chicagotribune.com/news/local/breaking/chi-man-52-wounded-in-south-side-shooting-20141130-story.html,Yes,Shot,41.7631550878286,-87.6289366185665,1,1,15:11:00,15,11,1205
2014-12-15,11:58,18,M,B,"(41.787796,-87.650199)",7,Englewood,Englewood,Englewood,http://www.chicagotribune.com/news/local/breaking/chi-chicago-shootings-violence-20141215-story.html,Yes,Shot,41.787796,-87.650199,1,1,11:58:00,11,58,1206
2014-12-17,1:15,35,M,W(H),"(41.8652238696814,-87.6860696822405)",10,Ogden,Douglas Park,Near West Side,http://www.chicagotribune.com/news/local/breaking/chi-teen-shot-in-englewood-20141216-story.html,Yes,Shot,41.8652238696814,-87.6860696822405,1,1,01:15:00,1,15,1207
2014-12-23,20:36,19,M,B,"(41.889213,-87.752059)",15,Austin,South Austin,Austin,http://www.chicagotribune.com/news/local/breaking/chi-shootings-chicago-20141223-story.html,Yes,Shot,41.889213,-87.752059,1,1,20:36:00,20,36,1208
2014-12-10,8:45,34,M,B,"(41.769264,-87.689826)",8,Chicago Lawn,Marquette Park,Chicago Lawn,http://www.chicagotribune.com/news/local/breaking/chi-man-shot-2-weeks-ago-dies-from-injuries-20141224-story.html,Yes,Shot,41.769264,-87.689826,1,1,08:45:00,8,45,1209
2014-12-27,20:35,25,M,B,"(41.761741,-87.588203)",3,Grand Crossing,Grand Crossing,South Shore,http://www.chicagotribune.com/news/local/breaking/chi-man-seriously-hurt-during-grand-crossing-shooting-20141227-story.html,,,41.761741,-87.588203,0,1,20:35:00,20,35,1210
2014-12-26,14:48,23,M,B,"(41.809135,-87.618331)",2,Wentworth,Bronzeville,Grand Boulevard,http://www.chicagotribune.com/news/local/breaking/chi-chicago-violence-shootings-20141226-story.html,,Shot,41.809135,-87.618331,0,1,14:48:00,14,48,1211
2014-12-28,15:40,24,M,B,"(41.802295,-87.654228)",9,Deering,Back of the Yards,New City,http://www.chicagotribune.com/news/local/breaking/chi-chicago-shooting-violence-20141228-story.html,Yes,Shot,41.802295,-87.654228,1,1,15:40:00,15,40,1212
2015-01-17,18:48,18,M,B,"(41.719192,-87.64402)",22,Morgan Park,Longwood Manor,Washington Heights,http://www.chicagotribune.com/news/local/breaking/chi-chicago-shootings-20150117-story.html,Yes,Shot,41.719192,-87.64402,1,1,18:48:00,18,48,1213
2015-01-25,12:50,39,M,W(H),"(41.8481120467186,-87.7126148343086)",10,Ogden,Little Village,South Lawndale,http://www.chicagotribune.com/news/local/breaking/chi-man-dies-2-days-after-little-village-shooting-20150128-story.html,,Shot,41.8481120467186,-87.7126148343086,0,1,12:50:00,12,50,1214
2015-02-08,12:09,48,F,B,"(41.687873,-87.636535)",22,Morgan Park,Roseland,Roseland,http://www.chicagotribune.com/news/local/breaking/chi-autopsy-woman-48-found-dead-in-roseland-was-stabbed-20150209-story.html?track=rss,Yes,Stabbing,41.687873,-87.636535,1,1,12:09:00,12,9,1215
2015-03-30,13:55,24,M,B,"(41.79047, -87.650268)",7,Englewood,Englewood,Englewood,http://www.chicagotribune.com/news/local/breaking/chi-bronzeville-shooting-wounds-man-20150330-story.html?track=rss,Yes,Shot,41.79047, -87.650268,1,1,13:55:00,13,55,1216
2015-04-19,6:35,30,M,,"(41.930697932839394, -87.75140225887299)",25,Grand Central,Cragin,Belmont Cragin,http://www.chicagotribune.com/news/local/breaking/chi-chicago-shooting-violence-20150418-story.html,Yes,Shot,41.930697932839394, -87.75140225887299,1,1,06:35:00,6,35,1217
2015-04-19,6:35,34,F,,"(41.930697932839394, -87.75140225887299)",25,Grand Central,Cragin,Belmont Cragin,http://www.chicagotribune.com/news/local/breaking/chi-chicago-shooting-violence-20150418-story.html,Yes,Shot,41.930697932839394, -87.75140225887299,1,1,06:35:00,6,35,1218
2015-03-22,18:35,21,M,B,"(41.97314187884331, -87.68438592553139)",20,Foster,Ravenswood,Lincoln Square,http://www.chicagotribune.com/news/local/breaking/chi-chicago-shootings-violence-20150322-story.html,Yes,Shot,41.97314187884331, -87.68438592553139,1,1,18:35:00,18,35,1219
2015-03-31,12:10,52,F,W,"(41.93267, -87.691925)",14,Shakespeare,Avondale,Avondale,http://www.chicagotribune.com/news/local/breaking/chi-man-woman--fatally-stabbed-in-avondale-home-20150331-story.html?track=rss,Yes,Stabbing,41.93267, -87.691925,1,1,12:10:00,12,10,1220
2015-04-26,12:40,20,M,B,"(41.872901, -87.713798)",11,Harrison,Homan Square,East Garfield Park,http://www.chicagotribune.com/news/local/breaking/chicago-shootings-violence-chi-20150426-story.html?track=rss,Yes,Shot,41.872901, -87.713798,1,1,12:40:00,12,40,1221
2015-04-28,15:00,30,M,B,"(41.6552848815918, -87.60883331298828)",5,Calumet,Golden Gate,Riverdale,http://www.chicagotribune.com/news/local/breaking/chi-man-dead-another-wounded-in-golden-gate-neighborhood-20150428-story.html?track=rss,Yes,Shot,41.6552848815918, -87.60883331298828,1,1,15:00:00,15,0,1222
2015-04-30,3:44,27,M,B,"(41.887027740478516, -87.74748229980469)",15,Austin,South Austin,Austin,http://www.chicagotribune.com/news/local/breaking/chi-shootings-chicago-20150429-story.html?track=rss,Yes,Shot,41.887027740478516, -87.74748229980469,1,1,03:44:00,3,44,1223
2015-05-01,00:45,27,F,B,"(41.74806594848633, -87.63145446777344)",6,Gresham,West Chatham,Chatham,http://www.chicagotribune.com/news/local/breaking/ct-chatham-neighborhood-woman-killed-in-homicide-suicide-20150502-story.html?track=rss,Yes,Shot,41.74806594848633, -87.63145446777344,1,1,00:45:00,0,45,1224
2015-05-05,1:19,26,M,,"(41.70080244541168, -87.5632493197918)",4,South Chicago,Trumbull Park,South Deering,http://www.chicagotribune.com/news/local/breaking/ct-man-stabbed-to-death-on-far-south-side-20150505-story.html?track=rss,Yes,Stabbing,41.70080244541168, -87.5632493197918,1,1,01:19:00,1,19,1225
2015-05-05,17:00,53,F,B,"(41.995281502604485, -87.68605962395668)",24,Rogers Park,West Rogers Park,West Ridge,http://www.chicagotribune.com/news/local/breaking/ct-west-rogers-park-homicide-20150505-story.html?track=rss,Yes,Stabbing,41.995281502604485, -87.68605962395668,1,1,17:00:00,17,0,1226
2015-05-09,23:58,23,M,B,"(41.758766174316406, -87.60577392578125)",3,Grand Crossing,Park Manor,Greater Grand Crossing,http://www.chicagotribune.com/news/local/breaking/ct-chicago-shooting-violence-20150509-story.html?track=rss,Yes,Shot,41.758766174316406, -87.60577392578125,1,1,23:58:00,23,58,1227
2015-05-07,12:15,5,F,W,"(41.743099212646484, -87.54700469970703)",4,South Chicago,The Bush,South Chicago,http://www.chicagotribune.com/news/local/breaking/ct-5-year-old-girls-death-investigated-20150508-story.html?track=rss,Yes,Child Abuse,41.743099212646484, -87.54700469970703,1,1,12:15:00,12,15,1228
2015-04-29,14:00,24,M,W(H),"(41.805167868733406, -87.67345391213894)",9,Deering,Back of the Yards,New City,http://www.chicagotribune.com/news/local/breaking/chi-shootings-chicago-20150429-story.html?track=rss,Yes,Shot,41.805167868733406, -87.67345391213894,1,1,14:00:00,14,0,1229
2015-04-07,14:45,28,M,B,"(41.96761518716812, -87.65894517302513)",19,Town Hall,Uptown,Uptown,http://www.chicagotribune.com/news/local/breaking/ct-man-dies-month-after-uptown-shooting-20150511-story.html?track=rss,Yes,Shot,41.96761518716812, -87.65894517302513,1,1,14:45:00,14,45,1230
2015-05-10,10:40,38,F,B,"(41.900455355644226, -87.75670632719994)",15,Austin,South Austin,Austin,http://www.chicagotribune.com/news/local/breaking/ct-woman-dead-in-south-austin-neighborhood-homicide-20150511-story.html?track=rss,Yes,Beaten,41.900455355644226, -87.75670632719994,1,1,10:40:00,10,40,1231
2014-07-21,17:54,22,M,B,"(41.80930249392986, -87.7456784248352)",8,Chicago Lawn,LeClaire Courts,Garfield Ridge,http://www.chicagotribune.com/news/local/breaking/ct-man-dies-months-after-shooting-20150514-story.html,Yes,Shot,41.80930249392986, -87.7456784248352,1,1,17:54:00,17,54,1232
2015-05-13,20:05,20,M,B,"(41.69953536987305, -87.62936401367188)",5,Calumet,Roseland,Roseland,http://www.chicagotribune.com/news/local/breaking/ct-2-wounded-by-shooter-in-red-truck-on-south-side-20150513-story.html?track=rss,Yes,Shot,41.69953536987305, -87.62936401367188,1,1,20:05:00,20,5,1233
2015-05-13,20:05,19,M,B,"(41.69953536987305, -87.62936401367188)",5,Calumet,Roseland,Roseland,http://www.chicagotribune.com/news/local/breaking/ct-2-wounded-by-shooter-in-red-truck-on-south-side-20150513-story.html?track=rss,Yes,Shot,41.69953536987305, -87.62936401367188,1,1,20:05:00,20,5,1234
2015-05-14,19:20,19,M,B,"(41.77675247192383, -87.67418670654297)",7,Englewood,West Englewood,West Englewood,http://www.chicagotribune.com/news/local/breaking/ct-chicago-shootings-violence-20150514-story.html?track=rss,Yes,Shot,41.77675247192383, -87.67418670654297,1,1,19:20:00,19,20,1235
2014-12-13,12:40,15,M,B,"(41.7800503224134,-87.6290479302406)",3,Grand Crossing,Englewood,Englewood,http://www.chicagotribune.com/news/local/breaking/chicagoshootingschi-20141213-story.html,Yes,Shot,41.7800503224134,-87.6290479302406,1,1,12:40:00,12,40,1236
2013-12-12,01:55,68,M,W(H),"(41.9170340895653,-87.7101961523294)",14,Shakespeare,Logan Square,Logan Square,"http://www.chicagotribune.com/news/local/breaking/chi-man-shot-in-back-of-the-yards-20131211,0,982907.story",Yes,Shot,41.9170340895653,-87.7101961523294,1,1,01:55:00,1,55,1237
2015-05-21,11:40,33,M,B,"(41.742509454488754, -87.55146704614162)",4,South Chicago,South Chicago,South Chicago,http://www.chicagotribune.com/news/local/breaking/ct-chicago-shootings-violence-20150521-story.html?track=rss#page=1,,,41.742509454488754, -87.55146704614162,0,1,11:40:00,11,40,1238
2015-05-20,20:10,54,F,,"(41.805877685546875, -87.72632598876953)",8,Chicago Lawn,Archer Heights,Archer Heights,http://www.chicagotribune.com/news/local/breaking/ct-woman-fatally-beaten-in-archer-heights-2-in-custody-20150521-story.html?track=rss,,,41.805877685546875, -87.72632598876953,0,1,20:10:00,20,10,1239
2015-05-13,23:10,19,M,W(H),"(41.917137145996094, -87.69963073730469)",14,Shakespeare,Logan Square,Logan Square,http://www.chicagotribune.com/news/local/breaking/ct-2-wounded-by-shooter-in-red-truck-on-south-side-20150513-story.html?track=rss,Yes,Shot,41.917137145996094, -87.69963073730469,1,1,23:10:00,23,10,1240
2014-10-03,21:20,20,M,B,"(41.7023534327745,-87.5644724071026)",4,South Chicago,Trumbull Park,South Deering,http://www.chicagotribune.com/news/local/breaking/chi-girl-16-shot-on-south-side-20141003-story.html#page=1,Yes,Shot,41.7023534327745,-87.5644724071026,1,1,21:20:00,21,20,1241
2015-04-02,20:30,37,M,B,"(41.769447, -87.621307)",3,Grand Crossing,Park Manor,Greater Grand Crossing,http://www.chicagotribune.com/news/local/breaking/chi-chicago-shootings-violence-20150402-story.html?track=rss,Yes,Shot,41.769447, -87.621307,1,1,20:30:00,20,30,1242
2015-05-21,23:25,22,M,W,"(41.83701507747173, -87.65858441591263)",9,Deering,Bridgeport,Bridgeport,http://www.chicagotribune.com/news/local/breaking/ct-chicago-shootings-violence-20150521-story.html?track=rss#page=1,,,41.83701507747173, -87.65858441591263,0,1,23:25:00,23,25,1243
2015-05-24,00:48,29,F,B,"(41.78195571899414, -87.66999053955078)",7,Englewood,West Englewood,West Englewood,http://www.chicagotribune.com/news/local/breaking/ct-chicago-shootings-violence-20150523-story.html#page=1,,,41.78195571899414, -87.66999053955078,0,1,00:48:00,0,48,1244
2015-05-25,17:30,19,M,B,"(41.82877667248249, -87.62562811374664)",2,Wentworth,Bronzeville,Douglas,http://www.chicagotribune.com/news/local/breaking/ct-boy-17-wounded-in-west-side-shooting-20150525-story.html?track=rss,Yes,Shot,41.82877667248249, -87.62562811374664,1,1,17:30:00,17,30,1245
2015-05-25,14:30,29,M,,"(41.95573425292969, -87.72312927246094)",17,Albany Park,Irving Park,Irving Park,http://www.chicagotribune.com/news/local/breaking/ct-boy-17-wounded-in-west-side-shooting-20150525-story.html?track=rss,,,41.95573425292969, -87.72312927246094,0,1,14:30:00,14,30,1246
2014-07-31,9:23,34,M,B,"(41.903259,-87.730857)",25,Grand Central,West Humboldt Park,Humboldt Park,http://www.chicagotribune.com/news/local/breaking/chi-man-wounded-in-south-chicago-shooting-20140731-story.html,Yes,Shot,41.903259,-87.730857,1,1,09:23:00,9,23,1247
2015-05-29,1:36,19,M,B,"(41.96943171322346, -87.65621937811375)",20,Foster,Uptown,Uptown,http://www.chicagotribune.com/news/local/breaking/ct-chicago-violence-20150528-story.html?track=rss,Yes,Shot,41.96943171322346, -87.65621937811375,1,1,01:36:00,1,36,1248
2014-12-23,15:55,23,M,B,"(41.750896,-87.612648)",6,Gresham,Chatham,Chatham,http://www.chicagotribune.com/news/local/breaking/chi-shootings-chicago-20141223-story.html,Yes,Shot,41.750896,-87.612648,1,1,15:55:00,15,55,1249
2015-05-29,23:58,24,M,W,"(41.85253635048866, -87.69429333508015)",10,Ogden,Little Village,South Lawndale,http://www.chicagotribune.com/news/local/breaking/ct-chicago-violence-20150529-story.html?track=rss#page=1,Yes,Shot,41.85253635048866, -87.69429333508015,1,1,23:58:00,23,58,1250
2015-05-30,2:00,25,M,W,"(41.93540185689926, -87.65356063842773)",19,Town Hall,Lake View,Lake View,http://www.chicagotribune.com/news/local/breaking/ct-chicago-violence-20150529-story.html?track=rss#page=1,Yes,Shot,41.93540185689926, -87.65356063842773,1,1,02:00:00,2,0,1251
2015-05-28,14:50,22,M,W(H),"(41.79334066808224, -87.715023458004)",8,Chicago Lawn,West Elsdon,West Elsdon,http://www.chicagotribune.com/news/local/breaking/ct-2-found-dead-in-fire-on-sw-side-20150528-story.html?track=rss,Yes,Stabbing,41.79334066808224, -87.715023458004,1,1,14:50:00,14,50,1252
2015-05-28,14:50,49,F,W(H),"(41.79334066808224, -87.715023458004)",8,Chicago Lawn,West Elsdon,West Elsdon,http://www.chicagotribune.com/news/local/breaking/ct-2-found-dead-in-fire-on-sw-side-20150528-story.html?track=rss,Yes,Multiple Injuries,41.79334066808224, -87.715023458004,1,1,14:50:00,14,50,1253
2015-05-23,2:15,20,M,B,"(41.86262212693691, -87.65195734798908)",12,Near West,University Village / Little Italy,Near West Side,http://www.chicagotribune.com/news/local/breaking/ct-chicago-crime-gun-violence-shooting-20150523-story.html?track=rss,Yes,Shot,41.86262212693691, -87.65195734798908,1,1,02:15:00,2,15,1254
2015-05-24,00:27,32,M,B,"(41.75053024291992, -87.58251953125)",4,South Chicago,South Chicago,South Chicago,http://www.chicagotribune.com/news/local/breaking/ct-chicago-shootings-violence-20150523-story.html#page=1,Yes,Shot,41.75053024291992, -87.58251953125,1,1,00:27:00,0,27,1255
2015-02-16,16:45,33,M,B,"(41.78877639770508, -87.66844940185547)",7,Englewood,West Englewood,West Englewood,http://www.chicagotribune.com/news/local/breaking/ct-man-dies-months-after-shooting-20150531-story.html,Yes,Delayed Fatal,41.78877639770508, -87.66844940185547,1,1,16:45:00,16,45,1256
2015-05-31,19:13,27,M,B,"(41.883385106921196, -87.74531498551369)",15,Austin,South Austin,Austin,http://www.chicagotribune.com/news/local/breaking/ct-chicago-shooting-violence-20150531-story.html?track=rss,Yes,Shot,41.883385106921196, -87.74531498551369,1,1,19:13:00,19,13,1257
2015-06-03,16:50,45,M,,"(42.014163970947266, -87.66968536376953)",24,Rogers Park,Rogers Park,Rogers Park,http://www.chicagotribune.com/news/local/breaking/ct-2-found-dead-on-north-side-20150603-story.html?track=rss,Yes,Shot,42.014163970947266, -87.66968536376953,1,1,16:50:00,16,50,1258
2015-06-05,18:01,34,M,B,"(41.67222820222378, -87.65409640967846)",5,Calumet,West Pullman,West Pullman,http://www.chicagotribune.com/news/local/breaking/ct-chicago-shooting-violence-20150605-story.html?track=rss#page=1,Yes,Shot,41.67222820222378, -87.65409640967846,1,1,18:01:00,18,1,1259
2015-06-05,21:55,27,M,W(H),"(41.84933580458164, -87.69299380481243)",10,Ogden,Little Village,South Lawndale,http://www.chicagotribune.com/news/local/breaking/ct-chicago-shooting-violence-20150605-story.html?track=rss#page=1,Yes,Shot,41.84933580458164, -87.69299380481243,1,1,21:55:00,21,55,1260
2014-02-06,02:15,29,M,B,"(41.74567,-87.664184)",6,Gresham,Gresham,Auburn Gresham,"http://www.chicagotribune.com/news/local/breaking/chi-chicago-shooting-washington-park-20140205,0,7759564.story?track=rss",Yes,Shot,41.74567,-87.664184,1,1,02:15:00,2,15,1261
2015-02-25,16:30,25,M,B,"(41.687259, -87.635826)",22,Morgan Park,Roseland,Roseland,http://www.chicagotribune.com/news/local/breaking/chi-chicago-shootings-violence-20150225-story.html,Yes,Shot,41.687259, -87.635826,1,1,16:30:00,16,30,1262
2015-05-31,12:15,25,M,B,"(41.7362174987793, -87.62311553955078)",6,Gresham,West Chesterfield,Chatham,http://www.chicagotribune.com/news/local/breaking/ct-chicago-shooting-violence-20150531-story.html?track=rss,Yes,Shot,41.7362174987793, -87.62311553955078,1,1,12:15:00,12,15,1263
2015-06-04,16:59,28,M,B,"(41.752628326416016, -87.60314178466797)",6,Gresham,Grand Crossing,Greater Grand Crossing,http://www.chicagotribune.com/news/local/breaking/ct-man-dies-days-after-shooting-20150609-story.html?track=rss,Yes,Shot,41.752628326416016, -87.60314178466797,1,1,16:59:00,16,59,1264
2015-06-12,00:45,23,M,B,"(41.98073959350586, -87.84066772460938)",16,Jefferson Park,O'Hare,Ohare,http://www.chicagotribune.com/news/local/breaking/ct-police-2-wounded-in-city-shootings-20150611-story.html?track=rss,Yes,Shot,41.98073959350586, -87.84066772460938,1,1,00:45:00,0,45,1265
2015-06-12,1:00,38,M,B,"(41.817474365234375, -87.61873626708984)",2,Wentworth,Bronzeville,Grand Boulevard,http://www.chicagotribune.com/news/local/breaking/ct-police-2-wounded-in-city-shootings-20150611-story.html?track=rss,Yes,Shot,41.817474365234375, -87.61873626708984,1,1,01:00:00,1,0,1266
2015-06-12,11:02,55,M,B,"(41.900474801659584, -87.7543057501316)",15,Austin,South Austin,Austin,http://www.chicagotribune.com/news/local/breaking/ct-chicago-violence20150612-story.html?track=rss#page=1,Yes,Shot,41.900474801659584, -87.7543057501316,1,1,11:02:00,11,2,1267
2015-05-24,20:15,15,M,B,"(41.8133659362793, -87.60636138916016)",2,Wentworth,Bronzeville,Kenwood,http://www.chicagotribune.com/news/local/breaking/ct-chicago-shooting-violence-20150524-story.html?track=rss,,,41.8133659362793, -87.60636138916016,0,1,20:15:00,20,15,1268
2014-10-26,21:30,36,M,W,"(41.855522,-87.679786)",12,Near West,Heart of Chicago,Lower West Side,http://www.chicagotribune.com/news/local/breaking/chi-man-shot-in-face-on-south-side-20141026-story.html?track=rss,Yes,Shot,41.855522,-87.679786,1,1,21:30:00,21,30,1269
2015-06-13,21:55,55,M,B,"(41.816139221191406, -87.70393371582031)",9,Deering,Brighton Park,Brighton Park,http://www.chicagotribune.com/news/local/breaking/ct-body-found-in-burning-garbage-can-in-brighton-park-20150614-story.html,Yes,Beaten,41.816139221191406, -87.70393371582031,1,1,21:55:00,21,55,1270
2015-06-14,21:45,49,M,B,"(41.96317948400974, -87.65613622963428)",19,Town Hall,Uptown,Uptown,http://www.chicagotribune.com/news/local/breaking/ct-man-fatally-stabbed-in-uptown-20150615-story.html?track=rss,Yes,Stabbing,41.96317948400974, -87.65613622963428,1,1,21:45:00,21,45,1271
2015-06-16,22:01,29,M,B,"(41.880523681640625, -87.71273803710938)",11,Harrison,Fifth City,East Garfield Park,http://www.chicagotribune.com/news/local/breaking/ct-chicago-shooting-violence-20150616-story.html?track=rss,Yes,Shot,41.880523681640625, -87.71273803710938,1,1,22:01:00,22,1,1272
2015-06-14,00:30,0,M,W,"(41.813846588134766, -87.6715316772461)",9,Deering,Back of the Yards,New City,http://www.chicagotribune.com/news/local/breaking/ct-chicago-violence-20150613-story.html#navtype=outfit,Yes,Shot,41.813846588134766, -87.6715316772461,1,1,00:30:00,0,30,1273
2015-06-16,1:05,49,M,B,"(41.75027444958687, -87.60400213301182)",6,Gresham,East Chatham,Chatham,http://www.chicagotribune.com/news/local/breaking/ct-east-chatham-homicide-20150617-story.html,Yes,Shot,41.75027444958687, -87.60400213301182,1,1,01:05:00,1,5,1274
