DATE,TIME,AGE,SEX,RACE,GEOCODE_OVERRIDE,DISTRICT_NUM,DISTRICT_NAME,NEIGHBORHOOD_NAME,COMMUNITY_NAME,LINK,MURDER,PUB_CAUSE,LAT,LNG,IS_MURDER,IS_FATAL,HOUR,HOUR_HH,MINUTES_MM,ID
2015-09-02,21:05,60,M,B,"(41.770328521728516, -87.5730972290039)",3,Grand Crossing,South Shore,South Shore,http://www.chicagotribune.com/news/local/breaking/ct-person-wounded-in-shooting-in-south-shore-20150902-story.html,Yes,Shot,41.770328521728516, -87.5730972290039,1,1,21:05:00,21,5,882
2015-09-02,23:35,23,M,B,"(41.89345169067383, -87.76100158691406)",15,Austin,South Austin,Austin,http://www.chicagotribune.com/news/local/breaking/ct-person-wounded-in-shooting-in-south-shore-20150902-story.html,Yes,Shot,41.89345169067383, -87.76100158691406,1,1,23:35:00,23,35,883
2015-09-03,5:10,39,M,B,"(41.80852800607681, -87.61622093617916)",2,Wentworth,Bronzeville,Grand Boulevard,http://www.chicagotribune.com/news/local/breaking/ct-person-wounded-in-shooting-in-south-shore-20150902-story.html,Yes,Shot,41.80852800607681, -87.61622093617916,1,1,05:10:00,5,10,884
2015-09-04,20:20,35,M,B,"(41.868160247802734, -87.69996643066406)",11,Harrison,Lawndale,North Lawndale,http://www.chicagotribune.com/news/local/breaking/ct-chicago-labor-day-weekend-shootings-20150904-story.html,Yes,Shot,41.868160247802734, -87.69996643066406,1,1,20:20:00,20,20,885
2015-09-04,23:40,22,M,B,"(41.85676574707031, -87.71356964111328)",10,Ogden,Lawndale,North Lawndale,http://www.chicagotribune.com/news/local/breaking/ct-chicago-labor-day-weekend-shootings-20150904-story.html,Yes,Shot,41.85676574707031, -87.71356964111328,1,1,23:40:00,23,40,886
2015-09-04,23:20,31,M,B,"(41.910972, -87.773132)",25,Grand Central,North Austin,Austin,http://www.chicagotribune.com/news/local/breaking/ct-chicago-labor-day-weekend-shootings-20150904-story.html,Yes,Shot,41.910972, -87.773132,1,1,23:20:00,23,20,887
2015-09-13,22:41,29,M,B,"(41.819236755371094, -87.60568237304688)",2,Wentworth,Bronzeville,Oakland,http://www.chicagotribune.com/news/local/breaking/ct-chicago-violence-20150913-story.html,Yes,Shot,41.819236755371094, -87.60568237304688,1,1,22:41:00,22,41,888
2015-09-13,18:53,19,M,B,"(41.739749908447266, -87.657958984375)",6,Gresham,Gresham,Auburn Gresham,http://www.chicagotribune.com/news/local/breaking/ct-chicago-violence-20150913-story.html,Yes,Shot,41.739749908447266, -87.657958984375,1,1,18:53:00,18,53,889
2015-09-13,21:13,36,M,B,"(41.742488861083984, -87.6677474975586)",6,Gresham,Gresham,Auburn Gresham,http://www.chicagotribune.com/news/local/breaking/ct-chicago-violence-20150913-story.html,Yes,Shot,41.742488861083984, -87.6677474975586,1,1,21:13:00,21,13,890
2015-09-15,,48,M,,"(41.697601, -87.647758)",22,Morgan Park,Morgan Park,Morgan Park,http://www.chicagotribune.com/news/local/breaking/ct-morgan-park-fatal-fire-20150914-story.html,Yes,Shot,41.697601, -87.647758,1,1,,-1,-1,891
